complaint,department,category,priority
"The slope of the newly built road is dangerous for heavy vehicles","Road","Road Design","Medium"
"Bridges joint expansion gap has widened dangerously","Road","Bridge Damage","High"
"Flyover approach road has developed a severe depression","Road","Road Damage","High"
"Service road completely blocked by debris from road construction","Road","Road Hazard","Medium"
"No proper divider on a fast moving four lane curve","Road","Road Design","High"
"The asphalt layer is thin and stripping off rapidly","Road","Road Damage","Medium"
"Unpaved dirt road causing massive dust clouds affecting visibility","Road","Road Damage","Low"
"The underpass is full of deep unseen pits under the muddy water","Road","Road Damage","High"
"Road surface resembles a rocky river bed near the industrial area","Road","Road Damage","High"
"Temporary iron plates placed over dug road are rattling and shifting","Road","Road Hazard","High"
"Sharp stones exposed on road piercing tires of commuting cars","Road","Road Damage","Medium"
"The median stones have fallen into the fast lane of traffic","Road","Road Hazard","High"
"Road side railing is completely broken and hanging down","Road","Road Hazard","Medium"
"Pothole repair work failed within three days of application","Road","Road Damage","Medium"
"The street texture is completely eroded making braking difficult","Road","Road Damage","High"
"Deep tyre tracks dug deep into the village mud road","Road","Road Damage","Low"
"The asphalt has bubbled up forming dangerous small mounds","Road","Road Damage","Low"
"Sinking manhole structure has created a deep ring pit on the street","Road","Road Caving","High"
"The side of the road is sliding into the adjacent storm ditch","Road","Road Caving","High"
"Pavement near the bus stop has buckled upward from tree roots","Road","Footpath Damage","Low"
"Walking path tiles are loose and splash dirty water when stepped on","Road","Footpath Damage","Low"
"Pedestrian zone blocked by debris left behind by builders","Road","Footpath Damage","Medium"
"The concrete pathway has cracked into sharp pieces","Road","Footpath Damage","Medium"
"A wide gap has formed between the road and the foot pavement","Road","Footpath Damage","Low"
"Bollards blocking vehicles from the walking path are broken off","Road","Footpath Damage","Low"
"Speed breaker is completely broken from the middle leaving sharp edges","Road","Speed Breaker Issue","Medium"
"Too many speed bumps placed within a 50 meter residential radius","Road","Speed Breaker Issue","Low"
"Giant speed table is scraping the bottom of normal sedan cars","Road","Speed Breaker Issue","Medium"
"Speed bump markers are invisible during night driving","Road","Speed Breaker Issue","Medium"
"Reflective studs on the speed breaker have all been detached","Road","Speed Breaker Issue","Low"
"The dividing line between the two roads has caved in","Road","Road Caving","High"
"Heavy rain has caused the embankment of the flyover to sink","Road","Road Caving","High"
"A trench dug by the gas agency was never refilled properly","Road","Road Damage","High"
"The corner turning is broken causing vehicles to swerve wide","Road","Road Damage","High"
"The main intersection road is completely eroded up to the gravel layer","Road","Road Damage","High"
"Ramp leading to the main avenue is broken and cracked","Road","Road Damage","Medium"
"The central lane of the highway has developed long deep cracks","Road","Road Damage","High"
"Potholes right in front of the ambulance emergency entrance gate","Road","Road Damage","High"
"The dirt road has become completely slushy and unusable for bikes","Road","Road Damage","Medium"
"Uneven patch work after pipeline repair has ruined the whole lane","Road","Road Damage","Medium"
"Deep erosion channels formed on the hillside road stretch","Road","Road Damage","High"
"The street layout has a sudden drop off without any warnings","Road","Road Design","High"
"Guarding wall along the mountain curve has collapsed","Road","Road Hazard","High"
"A massive hole has opened up over the underground utility tunnel","Road","Road Caving","High"
"The toll plaza lane has deep pits slowing down all vehicles","Road","Road Damage","Medium"
"Asphalt shifting sideways under heavy truck braking zones","Road","Road Damage","Medium"
"The main ring road is chipping away rapidly under heavy rain","Road","Road Damage","High"
"Sunken road section collects oil spills making it highly slick","Road","Road Hazard","High"
"The brick pavement on the pedestrian street is loose and missing","Road","Footpath Damage","Low"
"A massive depression has formed near the highway culvert","Road","Road Damage","High"
"The newly paved tar road is already developing hairline fissures","Road","Road Damage","Low"
"A major cave-in observed on the corner of the crowded market circle","Road","Road Caving","High"
"The street is completely bumpy due to poor quality steamrolling","Road","Road Damage","Medium"
"Potholes on the narrow bridge leave no room to avoid them","Road","Road Damage","High"
"The alignment of the service road creates a blind bump","Road","Road Design","Medium"
"The whole neighborhood street surface is peeling off like paper","Road","Road Damage","Medium"
"A dangerous pit has formed right where people step off the bus","Road","Road Damage","High"
"No water supply for three days","Water","Water Supply","High"
"Water not coming from taps in our colony","Water","Water Supply","High"
"Drinking water unavailable in ward 3","Water","Water Supply","High"
"Water leakage near market road","Water","Water Leakage","Medium"
"Pipeline leakage causing water waste","Water","Water Leakage","Medium"
"No municipal water supply since Monday morning","Water","Water Supply","High"
"Water pressure is so low it won't even reach the ground floor taps","Water","Water Supply","Medium"
"Entire apartment complex has run completely dry of water","Water","Water Supply","High"
"Dry taps in our sector for the past 48 hours straight","Water","Water Supply","High"
"Water supply cuts off within 5 minutes of turning on","Water","Water Supply","Medium"
"No water tanker has arrived despite multiple requests to the board","Water","Water Supply","High"
"Intermittent water supply is disrupting daily household chores","Water","Water Supply","Medium"
"Water comes only at 2 AM for ten minutes which is highly unfair","Water","Water Supply","Medium"
"The main valve seems blocked as no water is flowing to our lane","Water","Water Supply","High"
"The local water tank is empty and locked up","Water","Water Supply","High"
"Muddy and highly contaminated water coming out of municipal lines","Water","Water Quality","High"
"Drinking water smells strongly of sewage and chemicals","Water","Water Quality","High"
"Yellowish water with dirt particles flowing from the tap","Water","Water Quality","High"
"Water feels oily and has a strange foul odor today","Water","Water Quality","High"
"Salty and hard water being supplied instead of fresh drinking water","Water","Water Quality","Medium"
"Worm-like insects visible in the supplied drinking water","Water","Water Quality","High"
"Turbid water causing stomach infections among kids in our block","Water","Water Quality","High"
"Main distribution pipeline burst and water is gushing like a fountain","Water","Water Leakage","High"
"Underground pipe leak causing water to seep into house foundations","Water","Water Leakage","High"
"Water main broken during road construction wasting thousands of gallons","Water","Water Leakage","High"
"Joint failure in water line causing steady pool of water on the street","Water","Water Leakage","Medium"
"Valve box is leaking and flooding the nearby park","Water","Water Leakage","Medium"
"Water pump at the community borewell is completely burnt out","Water","Infrastructure Failure","Medium"
"Public water cooler is broken and leaking everywhere","Water","Infrastructure Failure","Low"
"Overhead supply tank is overflowing continuously for hours","Water","Water Waste","Medium"
"The municipal line is only supplying air with a loud hissing noise","Water","Water Supply","Medium"
"Water is available for only half an hour every alternate day","Water","Water Supply","High"
"The entire housing board colony has received zero water today","Water","Water Supply","High"
"Water flow has dropped down to a mere trickle this week","Water","Water Supply","Medium"
"No water supply to the public hospital wards since morning","Water","Water Supply","High"
"The booster pump is not operational causing water scarcity","Water","Infrastructure Failure","Medium"
"Water supply timing was changed without any advance notice to residents","Water","Water Supply","Low"
"Commercial areas are getting full water while residential zones are dry","Water","Water Supply","High"
"The distribution timing is highly erratic and unpredictable","Water","Water Supply","Medium"
"The main pipeline valve is manually closed by some miscreants","Water","Water Supply","High"
"Tap water looks completely black like drainage sludge","Water","Water Quality","High"
"Strong smell of chlorine making the water undrinkable and irritating","Water","Water Quality","Medium"
"Rust flakes and brown sediment settling down in water buckets","Water","Water Quality","High"
"The water from the pipeline leaves a white chalky residue on vessels","Water","Water Quality","Medium"
"Algae floating inside the main municipal supply line water","Water","Water Quality","High"
"The supplied water has a bitter taste and high TDS levels","Water","Water Quality","High"
"Water line cross contaminated with sewage line near the open drain","Water","Water Quality","High"
"Many families have fallen sick after consuming the city tap water","Water","Water Quality","High"
"A massive leak in the overhead tank is flooding the street layout","Water","Water Leakage","Medium"
"Subterranean pipe leakage causing water to bubble through road asphalt","Water","Water Leakage","High"
"The air release valve of the pipeline is constantly spraying water","Water","Water Leakage","Medium"
"Water pipeline joint has rusted out and leaks under high pressure","Water","Water Leakage","Medium"
"A continuous stream of drinking water is wasting down the highway ditch","Water","Water Waste","Medium"
"Public tap has a broken handle and cannot be turned off","Water","Infrastructure Failure","Low"
"The community well pump motor has seized up completely","Water","Infrastructure Failure","Medium"
"Float switch in the overhead reservoir is faulty causing endless overflow","Water","Water Waste","Medium"
"The main commercial water pipeline has multiple pinhole leaks","Water","Water Leakage","Low"
"Water meter box is filled with leaked water making it unreadable","Water","Infrastructure Failure","Low"
"Sewer line leaking directly into the drinking water canal branch","Water","Water Quality","High"
"The municipal supply has a high concentration of sand particles","Water","Water Quality","High"
"No water pressure on upper floors even with subsoil pumps running","Water","Water Supply","Medium"
"Water board tanker staff demanding extra bribes to deliver water","Water","Water Supply","High"
"Water pipeline has fractured near the bridge foundation pillar","Water","Water Leakage","High"
"The supply line has been dry for a full week in this scorching heat","Water","Water Supply","High"
"Taps are emitting an unbearable rot smell when opened","Water","Water Quality","High"
"The inline filters of the whole block are choking with mud daily","Water","Water Quality","High"
"Water pipe leaking underneath the electric transformer zone","Water","Water Leakage","High"
"A major fracture in the distribution branch is draining the water storage","Water","Water Leakage","High"
"Public drinking stand has been dry for more than a month now","Water","Water Supply","Low"
"The tap water is extremely hard and won't lather with soap at all","Water","Water Quality","Medium"
"The water line was cut by the road expansion crew and left open","Water","Infrastructure Failure","High"
"The valve house is locked up and no operator is present on duty","Water","Infrastructure Failure","Medium"
"Water flowing out of the air valve is muddy and contaminated","Water","Water Quality","High"
"The water main is leaking near the subway track alignment","Water","Water Leakage","High"
"Water is being illegally diverted using heavy suction pumps by few houses","Water","Water Supply","Medium"
"The main city water source has oil slick traces visible on top","Water","Water Quality","High"
"The entire zone water infrastructure has completely collapsed","Water","Infrastructure Failure","High"
"Street lights not working near bus stand","Electricity","Street Light Issue","Medium"
"Power cuts occurring frequently","Electricity","Power Issue","High"
"Electric pole damaged near school","Electricity","Electrical Damage","High"
"No electricity in our area","Electricity","Power Issue","High"
"Complete blackout in our neighborhood since the last 4 hours","Electricity","Power Issue","High"
"Frequent voltage fluctuations are destroying household appliances","Electricity","Power Issue","High"
"Phase outage has left half the houses in total darkness","Electricity","Power Issue","High"
"Unscheduled load shedding happening multiple times a day","Electricity","Power Issue","Medium"
"Power goes out every time there is a slight breeze or drizzle","Electricity","Power Issue","Medium"
"Electricity meter is running exceptionally fast and sparking","Electricity","Power Issue","High"
"Transformer blasted with a huge sound and caught fire","Electricity","Transformer Failure","High"
"The local transformer is smoking and making a loud buzzing noise","Electricity","Transformer Failure","High"
"Oil leaking heavily from the pole-mounted transformer","Electricity","Transformer Failure","High"
"Old transformer cannot handle the load and keeps tripping constantly","Electricity","Transformer Failure","High"
"High voltage wire has broken and is lying live on the wet road","Electricity","Dangerous Infrastructure","High"
"Sparks flying from overhead cables near the tree branches","Electricity","Dangerous Infrastructure","High"
"Electric pole is leaning dangerously toward a residential balcony","Electricity","Dangerous Infrastructure","High"
"Loose naked wires hanging low from the pole pose an electrocution risk","Electricity","Dangerous Infrastructure","High"
"Junction box door is broken wide open with exposed wiring near playground","Electricity","Dangerous Infrastructure","High"
"Entire street light stretch is dead making the road pitch black at night","Electricity","Street Light Issue","Medium"
"Streetlights remain turned on throughout the bright afternoon daytime","Electricity","Street Light Issue","Low"
"Flickering street light giving a tough time to drivers at the turn","Electricity","Street Light Issue","Low"
"Newly installed street lamp has stopped working within a week","Electricity","Street Light Issue","Low"
"Power outage has lasted for 12 hours without any update from board","Electricity","Power Issue","High"
"Voltage drops so low that even LED bulbs are barely glowing","Electricity","Power Issue","High"
"Every night at 8 PM the power trips due to overload in the grid","Electricity","Power Issue","Medium"
"The main power grid line has snapped near the agricultural fields","Electricity","Power Issue","High"
"Frequent smart meter reboots causing continuous power cuts","Electricity","Power Issue","Medium"
"One phase out of three is completely dead causing partial blackout","Electricity","Power Issue","High"
"Electricity bills are generated wrong due to faulty automated systems","Electricity","Power Issue","Low"
"Power surge has burnt down the television and refrigerator in our home","Electricity","Power Issue","High"
"The entire layout is facing a blackout due to a cable fault underground","Electricity","Power Issue","High"
"The backup power link failed to initiate after main line down","Electricity","Power Issue","Medium"
"The transformer fuses blew up with a loud bang just now","Electricity","Transformer Failure","High"
"Transformer cooling fans are broken and it is overheating rapidly","Electricity","Transformer Failure","High"
"Lightning struck the local transformer and it needs total replacement","Electricity","Transformer Failure","High"
"The transformer platform is shaking and about to collapse","Electricity","Transformer Failure","High"
"Illegal power hookups on the transformer are causing frequent sparks","Electricity","Transformer Failure","High"
"High tension wire hanging low over the public transit bus route","Electricity","Dangerous Infrastructure","High"
"An old wooden electric pole has decayed completely at the base","Electricity","Dangerous Infrastructure","High"
"The feeder pillar box is emitting smoke and burning smell","Electricity","Dangerous Infrastructure","High"
"Overhead cables tangled in a massive mess look ready to snap down","Electricity","Dangerous Infrastructure","High"
"The ground wire of the main pole is disconnected and floating free","Electricity","Dangerous Infrastructure","Medium"
"No street lights working on the dark highway stretch near accident spot","Electricity","Street Light Issue","High"
"The timer for the street light system is broken and out of sync","Electricity","Street Light Issue","Low"
"Street lights are glowing very dim due to line voltage drop issues","Electricity","Street Light Issue","Low"
"The lamp post bulb exploded and glass shards are on the pathway","Electricity","Street Light Issue","Low"
"Half the street lamps are working while alternate ones are dead","Electricity","Street Light Issue","Low"
"High voltage cable insulation peeled off exposing bare copper wire","Electricity","Dangerous Infrastructure","High"
"The utility pole caught fire due to a short circuit in cable lines","Electricity","Dangerous Infrastructure","High"
"Substation equipment failure has left the whole sector powerless","Electricity","Power Issue","High"
"Power cuts occurring every 15 minutes making it hard to work from home","Electricity","Power Issue","High"
"The phase wire is rubbing against a metal hoarding board sparking out","Electricity","Dangerous Infrastructure","High"
"An electric pole was hit by a truck and is now balancing on wires","Electricity","Dangerous Infrastructure","High"
"The whole blocks main switchgear assembly is corroded and sparking","Electricity","Dangerous Infrastructure","High"
"No electricity since yesterday afternoon in this intense summer heat","Electricity","Power Issue","High"
"The electronic meter box is sparking whenever it rains","Electricity","Dangerous Infrastructure","High"
"Overhead power lines are passing way too close to the new terrace extension","Electricity","Dangerous Infrastructure","High"
"A broken insulator cup has caused the high phase wire to drop low","Electricity","Dangerous Infrastructure","High"
"The power grid team has left bare cables coming out of the pavement pit","Electricity","Dangerous Infrastructure","High"
"Streetlights are off during a foggy morning when visibility is zero","Electricity","Street Light Issue","Medium"
"The street light pole has a live electrical leakage when touched","Electricity","Dangerous Infrastructure","High"
"Main distribution panel door is missing in the public walkway corner","Electricity","Dangerous Infrastructure","High"
"The entire market area power supply line has melted due to overload","Electricity","Power Issue","High"
"Garbage has not been collected for one week","Sanitation","Garbage Collection","Medium"
"Waste dumping causing bad smell","Sanitation","Garbage Collection","Medium"
"Sewage water spreading foul smell","Sanitation","Sewage Problem","High"
"Dustbin overflowing near market","Sanitation","Garbage Collection","Medium"
"Sanitation workers have skipped our street for the past ten days","Sanitation","Garbage Collection","Medium"
"Dead animal carcass rotting on the side of the main road","Sanitation","Debris and Dead Animals","High"
"People throwing household trash bags directly on the open ground","Sanitation","Garbage Collection","Medium"
"Piles of plastic waste and bottles accumulating outside the park gate","Sanitation","Garbage Collection","Medium"
"The trash collection truck drives past without stopping for our block","Sanitation","Garbage Collection","Low"
"Medical waste and used syringes dumped illegally behind the clinic","Sanitation","Hazardous Waste","High"
"Industrial sludge dumped under the bridge causing chemical odor","Sanitation","Hazardous Waste","High"
"E-waste and broken batteries piled up next to the public dustbin","Sanitation","Hazardous Waste","Medium"
"Construction debris left on the road for months blocking the lane","Sanitation","Debris and Dead Animals","Medium"
"Tree branches cut by workers left rotting on the side walk","Sanitation","Debris and Dead Animals","Low"
"Sewage line choked and back-flowing into residential toilets","Sanitation","Sewage Problem","High"
"Manhole cover missing and raw sewage bubbling out onto the pavement","Sanitation","Sewage Problem","High"
"Underground drainage pipe cracked causing foul sludge to mix with soil","Sanitation","Sewage Problem","High"
"Public toilet facility is extremely filthy and lacks running water","Sanitation","Public Hygiene","Medium"
"Open defecation happening near the railway tracks due to lack of facilities","Sanitation","Public Hygiene","High"
"Stagnant black slush in open gutters emitting unbearable stench","Sanitation","Sewage Problem","Medium"
"The community skip bin is broken and all the trash is spilling out","Sanitation","Garbage Collection","Medium"
"Illegal dumping of commercial kitchen waste behind the market block","Sanitation","Garbage Collection","Medium"
"The garbage collector vehicle helper is demanding extra cash tips","Sanitation","Garbage Collection","Low"
"Trash has piled up to the size of a hill at the main sector gate","Sanitation","Garbage Collection","Medium"
"No source segregation being practiced by the waste management team","Sanitation","Garbage Collection","Low"
"A dead stray dog is decaying near the school perimeter wall","Sanitation","Debris and Dead Animals","High"
"Sewer gas leaking from the broken pipe vent causing nausea to residents","Sanitation","Sewage Problem","High"
"The community center septic tank has cracked and is oozing sludge","Sanitation","Sewage Problem","High"
"Toilet waste water directly draining into the open roadside pathway","Sanitation","Sewage Problem","High"
"The public urinal has blocked pipes and water is flooding the floor","Sanitation","Public Hygiene","Medium"
"Meat shop owners dumping blood and animal guts into regular bins","Sanitation","Hazardous Waste","High"
"Chemical containers left abandoned near the residential drinking well","Sanitation","Hazardous Waste","High"
"Electronic scrap items dumped in the local pond contaminating water","Sanitation","Hazardous Waste","Medium"
"Leftover concrete and tiles dumped on the green belt area of colony","Sanitation","Debris and Dead Animals","Low"
"The scanning yard trash is being burned openly causing thick black smoke","Sanitation","Public Hygiene","High"
"Plastic waste burning by the roadside filling houses with soot","Sanitation","Public Hygiene","High"
"The waste segregation plant is emitting an unbearable foul odor","Sanitation","Public Hygiene","Medium"
"The public park corner turned into a mini dumping yard by vendors","Sanitation","Garbage Collection","Medium"
"No cleaning swept on the inner streets for more than two months","Sanitation","Public Hygiene","Low"
"The open drains are full of floating single use plastic wrappers","Sanitation","Public Hygiene","Medium"
"The municipal workers left the collected garbage pile on the road itself","Sanitation","Garbage Collection","Medium"
"A rotting pile of fish waste left near the temple walking zone","Sanitation","Debris and Dead Animals","High"
"The septic tanker is discharging human waste into the dry riverbed","Sanitation","Sewage Problem","High"
"Raw human excreta visible near the broken sewer manhole line","Sanitation","Sewage Problem","High"
"The public convenience complex has become a breeding ground for flies","Sanitation","Public Hygiene","Medium"
"Plastic bags choke the city square fountain turning it into a dump","Sanitation","Garbage Collection","Low"
"Household hazardous waste like paints and oils thrown in normal bins","Sanitation","Hazardous Waste","Medium"
"The main community dustbin is rusted from bottom and leaking liquids","Sanitation","Garbage Collection","Low"
"Debris from a demolished old building blocking half the active lane","Sanitation","Debris and Dead Animals","Medium"
"The sweeping staff only clears the main road and avoids side alleys","Sanitation","Public Hygiene","Low"
"Foul liquid from garbage truck leaking all along its transit route","Sanitation","Garbage Collection","Medium"
"A giant mound of compostable leaves left to rot on the active path","Sanitation","Debris and Dead Animals","Low"
"The sewer line has collapsed filling the basement with foul water","Sanitation","Sewage Problem","High"
"The whole area smells like a toilet due to the leaking main drain","Sanitation","Sewage Problem","High"
"Drainage water overflowing onto roads","Drainage","Drainage Issue","Medium"
"Drain blockage causing flooding","Drainage","Drainage Issue","Medium"
"Water stagnating due to blocked drains","Drainage","Drainage Issue","Medium"
"A single rain shower completely submerges the street due to poor drainage","Drainage","Drainage Issue","High"
"Stormwater drains are choked solid with plastic bags and silt","Drainage","Drainage Issue","Medium"
"Culvert is blocked causing water backflow into nearby shops","Drainage","Drainage Issue","High"
"Drainage water entering low-lying houses after yesterday's downpour","Drainage","Drainage Issue","High"
"The open drain has no grating or safety mesh over it","Drainage","Drainage Hazard","High"
"A child almost fell into the deep open storm drain near the square","Drainage","Drainage Hazard","High"
"Mosquitoes breeding rapidly because of stagnant drainage pools","Drainage","Drainage Issue","Medium"
"Roadside gutters are completely filled with mud and never desilted","Drainage","Drainage Issue","Medium"
"Rainwater harvesting drain is blocked up with dead leaves","Drainage","Drainage Issue","Low"
"The drainage slope is wrong, causing water to pool up permanently","Drainage","Drainage Issue","Medium"
"Sewer line collapsed under the pressure of heavy vehicles above","Drainage","Drainage Issue","High"
"Gully trap is choked with restaurant oil and grease kitchen waste","Drainage","Drainage Issue","Medium"
"The main storm drain outlet is completely blocked by weeds and water hyacinth","Drainage","Drainage Issue","Medium"
"The drain concrete cover has broken and caved in blocking the flow","Drainage","Drainage Issue","High"
"Dirty gutter water backing up from the kitchen sinks of ground floors","Drainage","Drainage Issue","High"
"The commercial street drainage line is too narrow for rain loads","Drainage","Drainage Issue","Medium"
"Water from open gutters is spilling into the school playground","Drainage","Drainage Issue","High"
"A long trench of standing black gutter water has formed near the gate","Drainage","Drainage Issue","Medium"
"The culvert beneath the railway line is completely choked with mud","Drainage","Drainage Issue","High"
"Stormwater channels are filled with construction sand concrete slurry","Drainage","Drainage Issue","Medium"
"Heavy flooding on the highway due to lack of operational side drains","Drainage","Drainage Issue","High"
"The open roadside canal drain is overflowing into adjacent farm lands","Drainage","Drainage Issue","Medium"
"Sewer lines are mixing with rain drains creating an absolute mess","Drainage","Drainage Issue","High"
"The underground concrete pipe has cracked letting dirt block the water","Drainage","Drainage Issue","Medium"
"An old stone slab drain has collapsed inwards blocking the street path","Drainage","Drainage Issue","Medium"
"The drain box at the corner of the crossroad has structural damage","Drainage","Drainage Issue","Medium"
"High tide backflow through coastal storm drains flooding the streets","Drainage","Drainage Issue","High"
"Industrial effluent being discharged into the storm drain network","Drainage","Drainage Issue","High"
"The open channel lacks concrete lining causing soil to collapse inside","Drainage","Drainage Issue","Medium"
"The main drainage pumping station is down due to mechanical fault","Drainage","Drainage Issue","High"
"Gutter cleaning crew left the extracted black mud on the road edge","Drainage","Drainage Issue","Medium"
"The entire market block becomes an open lake due to blocked side outlets","Drainage","Drainage Issue","High"
"The drainage grate is packed tight with plastic cups and plates","Drainage","Drainage Issue","Medium"
"The underground pipeline connection angle is wrong causing a bottleneck","Drainage","Drainage Issue","Medium"
"The brick wall of the storm drain channel has bulged out dangerously","Drainage","Drainage Hazard","Medium"
"A massive sinkhole opening right above the main brick line drain","Drainage","Drainage Hazard","High"
"The roadside ditch has no exit link causing perennial water pooling","Drainage","Drainage Issue","Low"
"Slum cluster drains are completely choked with solid municipal waste","Drainage","Drainage Issue","High"
"The main concrete box culvert has a large structural fracture inside","Drainage","Drainage Issue","High"
"Rain runoff cannot enter the drains because the inlet holes are paved over","Drainage","Drainage Issue","Medium"
"The underpass drainage system pump is burnt out causing engine stalls","Drainage","Drainage Issue","High"
"The whole housing society driveway is submerged in knee deep foul water","Drainage","Drainage Issue","High"
"Many stray dogs chasing children","Animal","Stray Animals","Medium"
"Stray dogs creating problems near school","Animal","Stray Animals","Medium"
"A pack of aggressive stray dogs attacked a delivery person today","Animal","Stray Animals","High"
"Stray cattle sitting in the middle of the busy highway causing pile-ups","Animal","Stray Animals","High"
"Rabid-behaving dog biting passersby near the public library","Animal","Stray Animals","High"
"Stray dog population has exploded in our sector, barking all night","Animal","Stray Animals","Low"
"Monkeys entering kitchens, stealing food, and biting residents","Animal","Wildlife Encounter","High"
"A large venomous snake spotted inside the community public park","Animal","Wildlife Encounter","High"
"Swarm of wild bees built a massive hive directly over the apartment entrance","Animal","Wildlife Encounter","Medium"
"Stray pigs digging up garbage bins and scattering waste across roads","Animal","Stray Animals","Medium"
"Injured cow lying on the side of the street unable to get up","Animal","Animal Welfare","Medium"
"Abandoned pets left on the streets looking weak and starved","Animal","Animal Welfare","Low"
"Stray dogs digging up lawns and making aggressive growling sounds at walkers","Animal","Stray Animals","Medium"
"Bulls fighting furiously on the main road, smashing parked scooters","Animal","Stray Animals","High"
"A stray dog has given birth inside the school corridor blocking path","Animal","Stray Animals","Medium"
"Stray dogs chasing two wheelers at night causing severe bike crashes","Animal","Stray Animals","High"
"Cows standing on the narrow bridge causing blockades from both sides","Animal","Stray Animals","High"
"A large troop of monkeys damaging roof tiles and solar panels of houses","Animal","Wildlife Encounter","Medium"
"A sick stray dog with open wounds is sitting near the food stalls","Animal","Animal Welfare","High"
"A wild python has climbed onto the roadside electric pole wire","Animal","Wildlife Encounter","High"
"Stray horses running loosely on the fast highway lane causing panic","Animal","Stray Animals","High"
"Large number of stray cats creating unhygienic conditions in basement","Animal","Stray Animals","Low"
"A pack of dogs has cornered a deer that entered from nearby woods","Animal","Wildlife Encounter","Medium"
"A colony of bats inside the old school building creating foul smell","Animal","Wildlife Encounter","Low"
"Stray cattle feeding on plastic bags near the commercial market bin","Animal","Animal Welfare","Medium"
"An aggressive street dog has bitten three people in our block today","Animal","Stray Animals","High"
"The monkey menace has made it impossible to dry clothes on balconies","Animal","Wildlife Encounter","Medium"
"A large stray pig carcass is floating in the community drinking pond","Animal","Stray Animals","High"
"Stray dogs fighting loudly throughout the night disturbing sleep completely","Animal","Stray Animals","Low"
"Cows blocking the automated bank ATM center entrance glass door area","Animal","Stray Animals","Low"
"A dangerous swarm of wasps has nested inside the children slide pipe","Animal","Wildlife Encounter","High"
"A stray camel has broken into the public botanical garden fence","Animal","Stray Animals","Medium"
"Stray dogs acting extremely hostile near the jogging park gate track","Animal","Stray Animals","Medium"
"A newborn calf is stuck deep inside the mud pit of open drain","Animal","Animal Welfare","Medium"
"Flock of aggressive pigeons nesting in ventilation vents blocking air","Animal","Wildlife Encounter","Low"
"Stray dogs have bitten the security guard of our housing society apartment","Animal","Stray Animals","High"
"Monkeys snatching grocery bags directly from hands of senior citizens","Animal","Wildlife Encounter","High"
"A stray bull has fallen inside an open water sump structure tank","Animal","Animal Welfare","High"
"Stray dogs tearing up car seat covers and scratching vehicle paints","Animal","Stray Animals","Low"
